appraisal_id,organization_name,property_type,loan_type,created_at,qc_versions,revision_exists,lender_revision_exists,minutes_cycle_time,minutes_in_review_v1,minutes_in_queue,rules_run
APR-000028,Delta Appraisal,Manufactured,Purchase,2025-09-03 11:04:14,1,1,False,57,46.0,11,176
APR-000029,Horizon Appraisal,Single Family,Refinance,2025-09-25 11:04:14,1,0,True,171,6.0,165,53
APR-000030,Ocean Appraisal,Townhouse,Refinance,2025-09-23 11:04:14,2,1,False,420,12.0,9,55
APR-000031,River Appraisal,Condo,Purchase,2025-09-10 11:04:14,1,0,True,15,11.0,4,106
APR-000032,Horizon Appraisal,Manufactured,Purchase,2025-08-19 11:04:14,1,1,True,213,23.0,190,118
APR-000033,Forest Appraisal,Townhouse,Purchase,2025-07-30 11:04:14,1,1,True,245,35.0,210,125
APR-000034,Delta-Appraisal,Townhouse,Refinance,2025-08-05 11:04:14,2,1,False,750,16.0,15,87
APR-000035,Forest Appraisal,Single Family,Purchase,2025-09-22 11:04:14,3,1,True,834,,126,130
APR-000036,Delta Appraisal,Single Family,Purchase,2025-07-19 11:04:14,1,1,False,46,33.0,13,135
APR-000037,River Appraisal,Condo,refinance,2025-08-25 11:04:14,1,1,True,25,18.0,7,65
APR-000038,Ocean Appraisal,Single Family,Purchase,2025-09-27 11:04:14,1,1,False,55,44.0,11,158
APR-000039,Ocean Appraisal,Manufactured,Refinance,2025-07-25 11:04:14,2,1,False,570,5.0,11,55
APR-000040,Forest Appraisal,Manufactured,Purchase,2025-09-15 11:04:14,1,1,True,186,33.0,153,149
APR-000041,Forest Appraisal,Multi-Family,Purchase,2025-10-02 11:04:14,1,0,False,258,22.0,236,167
APR-000042,Forest Appraisal,Condo,HELOC,2025-10-13 11:04:14,4,1,True,1584,26.0,123,106
APR-000043,River Appraisal,Townhouse,Purchase,2025-10-10 11:04:14,1,1,False,20,13.0,7,139
APR-000044,Horizon Appraisal,Single Family,Refinance,2025-09-12 11:04:14,5,1,False,324,11.0,214,69
APR-000045,Forest Appraisal,Single Family,Purchase,2025-08-29 11:04:14,1,0,True,239,17.0,222,145
APR-000046,Delta Review,Condo,Refinance,2025-09-30 11:04:14,1,0,False,30,16.0,14,92
APR-000047,Ocean Appraisal,Single Family,Purchase,2025-10-05 11:04:14,1,1,False,54,46.0,8,157
APR-000048,Forest Appraisal,Townhouse,Purchase,2025-07-21 11:04:14,1,1,True,221,25.0,196,132
APR-000049,Ocean Appraisal,Multi-Family,Refinance,2025-08-21 11:04:14,1,0,False,18,10.0,8,68
APR-000050,Forest Appraisal,Manufactured,Purchase,2025-09-28 11:04:14,2,1,False,540,20.0,134,142
APR-000051,Horizon Appraisal,Multi-Family,Purchase,2025-09-15 11:04:14,1,1,False,216,18.0,198,119
APR-000052,Forest Appraisals,Multi-Family,Purchase,2025-10-09 11:04:14,2,1,True,252,16.0,175,131
APR-000053,River Appraisal,Single Family,Purchase,2025-09-14 11:04:14,1,1,False,24,20.0,4,143
APR-000054,Ocean Appraisal,Single Family,Purchase,2025-08-29 11:04:14,1,0,True,28,-12.0,6,113
APR-000055,Forest Appraisal,Multi-Family,Purchase,2025-09-23 11:04:14,2,1,False,1590,20.0,188,170
APR-000056,Forest Appraisal,Multi-Family,Purchase,2025-08-21 11:04:14,4,1,False,666,25.0,140,115
APR-000057,Forest Appraisal,Multi-Family,Refinance,2025-07-26 11:04:14,1,1,True,255,24.0,231,70
APR-000058,Delta Appraisal,Manufactured,Purchase,2025-10-08 11:04:14,1,1,False,51,39.0,12,133
APR-000059,Ocean Appraisal,Condo,HELOC,2025-08-16 11:04:14,1,1,False,26,19.0,7,112
APR-000060,Horizon Appraisal,Multi-Family,Refinance,2025-08-13 11:04:14,1,0,False,217,5.0,212,60
APR-000061,Ocean Appraisal,Multi-Family,Purchase,2025-07-17 11:04:14,3,1,True,606,20.0,10,140
APR-000062,River Appraisal,Townhouse,HELOC,2025-09-13 11:04:14,1,0,False,16,11.0,5,101
APR-000063,Horizon Appraisal,Multi-Family,Refinance,2025-09-26 11:04:14,2,1,True,918,5.0,178,50
APR-000064,Forest Appraisal,Single Family,Purchase,2025-08-13 11:04:14,3,1,True,2580,28.0,157,136
APR-000065,Delta Appraisal,Townhouse,refinance,2025-07-24 11:04:14,2,1,False,1332,14.0,9,0
APR-000066,Ocean Appraisal,Manufactured,Purchase,2025-09-16 11:04:14,2,1,False,1074,24.0,11,128
APR-000067,Delta Appraisal LLC,Single Family,Purchase,2025-09-20 11:04:14,1,0,True,53,40.0,13,151
APR-000068,Forest Appraisal,Condo,Purchase,2025-07-25 11:04:14,1,0,True,158,25.0,133,138
APR-000069,Horizon Appraisal,Condo,Purchase,2025-09-27 11:04:14,1,1,False,193,24.0,169,129
APR-000070,Delta Appraisal,Single Family,Refinance,2025-10-04 11:04:14,2,1,False,1578,10.0,11,60
APR-000071,Horizon Appraisal,Manufactured,refinance,2025-09-27 11:04:14,1,0,False,220,5.0,215,66
APR-000072,River Appraisal,Townhouse,HELOC,2025-08-12 11:04:14,1,0,False,13,9.0,4,111
APR-000073,Forest Appraisal,Townhouse,Purchase,2025-08-02 11:04:14,2,1,False,2862,17.0,127,123
APR-000074,Horizon Appraisal,Single Family,Purchase,2025-07-26 11:04:14,1,1,True,157,18.0,139,111
APR-000075,Horizon Appraisal,Single Family,Refinance,2025-09-27 11:04:14,1,0,True,193,10.0,183,55
APR-000076,Ocean Appraisal,Townhouse,Refinance,2025-09-19 11:04:14,1,0,False,19,13.0,6,62
APR-000077,Forest Appraisals,Condo,HELOC,2025-07-25 11:04:14,2,1,False,324,19.0,227,114
APR-000078,River Appraisal,Manufactured,Purchase,2025-09-11 11:04:14,1,1,False,27,22.0,5,161
APR-000079,River Appraisal,Manufactured,Purchase,2025-10-08 11:04:14,2,1,False,882,7.0,5,138
APR-000080,Ocean Appraisal,Townhouse,Refinance,2025-09-25 11:04:14,1,0,True,17,10.0,7,71
APR-000081,Ocean Appraisal,Townhouse,HELOC,2025-08-03 11:04:14,1,0,False,22,13.0,9,85
APR-000082,Ocean Appraisal,Condo,Refinance,2025-09-25 11:04:14,1,1,True,30,21.0,9,85
APR-000083,River Appraisal,Townhouse,Purchase,2025-08-12 11:04:14,1,1,False,22,16.0,6,125
APR-000084,Forest Appraisal Co.,Manufactured,Refinance,2025-08-19 11:04:14,1,0,False,201,10.0,191,71
APR-000085,Horizon Appraisal,Single Family,Purchase,2025-07-23 11:04:14,1,0,False,153,16.0,137,145
APR-000086,Horizon Appraisal,Single Family,Refinance,2025-07-22 11:04:14,2,1,True,1038,10.0,214,84
APR-000087,River Appraisal,Townhouse,Purchase,2025-10-06 11:04:14,2,1,True,1080,11.0,4,137
APR-000088,Forest Appraisal,Multi-Family,Refinance,2025-09-25 11:04:14,2,1,True,588,12.0,223,72
APR-000089,Delta Appraisal LLC,Condo,Purchase,2025-07-26 11:04:14,1,1,False,50,40.0,10,162
APR-000090,Delta Appraisal,Manufactured,Purchase,2025-09-02 11:04:14,1,1,False,62,47.0,15,150
APR-000091,Delta Appraisal,Single Family,Purchase,2025-08-02 11:04:14,1,1,False,50,40.0,10,166
APR-000092,River Appraisal,Townhouse,Purchase,2025-07-22 11:04:14,1,0,False,16,10.0,6,121
APR-000093,Forest Appraisal,Single Family,Refinance,2025-10-10 11:04:14,3,1,False,726,23.0,192,79
APR-000094,River Appraisal,Manufactured,Purchase,2025-09-07 11:04:14,1,0,False,16,12.0,4,142
APR-000095,Forest Appraisal,Condo,HELOC,2025-08-16 11:04:14,2,1,False,2244,14.0,189,100
APR-000096,Forest Appraisal,Condo,Refinance,2025-07-20 11:04:14,2,1,False,756,10.0,186,79
APR-000097,River Appraisals LLC,Condo,Purchase,2025-09-07 11:04:14,1,1,True,16,11.0,5,108
APR-000098,River Appraisal,Single Family,Purchase,2025-10-14 11:04:14,1,1,False,23,17.0,6,152
APR-000099,Horizon Appraisal,Condo,Refinance,2025-09-15 11:04:14,2,1,True,522,7.0,191,74
APR-000100,Forest Appraisal,Townhouse,Refinance,2025-09-13 11:04:14,2,1,False,336,22.0,151,61
APR-000101,River Appraisals LLC,Condo,Refinance,2025-08-15 11:04:14,1,0,True,12,8.0,4,84
APR-000102,Ocean Appraisal,Townhouse,REFINANCE,2025-09-06 11:04:14,3,1,False,360,15.0,9,71
APR-000103,River Appraisal,Townhouse,Refinance,2025-08-21 11:04:14,2,1,True,1392,10.0,6,65
APR-000104,Delta Appraisal,Townhouse,Purchase,2025-09-23 11:04:14,1,1,False,48,35.0,13,147
APR-000105,Ocean Appraisal,Condo,Purchase,2025-08-19 11:04:14,3,1,False,1188,24.0,8,131
APR-000106,Delta-Appraisal,Single Family,HELOC,2025-08-19 11:04:14,1,1,False,46,38.0,8,111
APR-000107,Ocean Appraisal,Townhouse,Refinance,2025-08-30 11:04:14,1,0,False,18,8.0,10,73
APR-000108,Horizon Appraisal,Single Family,Refinance,2025-09-20 11:04:14,1,0,False,183,7.0,176,72
APR-000109,Horizon Appraisal,Townhouse,Refinance,2025-08-10 11:04:14,2,1,False,1830,10.0,187,76
APR-000110,Ocean Appraisal,Manufactured,Refinance,2025-07-17 11:04:14,1,0,False,14,8.0,6,69
APR-000111,Delta Appraisal,Condo,Refinance,2025-10-10 11:04:14,1,0,False,23,15.0,8,66
APR-000112,River Appraisal,Townhouse,Purchase,2025-10-10 11:04:14,3,1,False,1212,15.0,7,148
APR-000113,Delta Appraisal,Townhouse,Purchase,2025-08-01 11:04:14,2,1,False,570,31.0,14,150
APR-000114,Delta Appraisal,Townhouse,Purchase,2025-09-07 11:04:14,1,1,False,47,39.0,8,140
APR-000115,Horizon Appraisal,Condo,Refinance,2025-09-25 11:04:14,2,1,False,306,6.0,189,77
APR-000116,Forest Appraisal,Condo,Purchase,2025-09-03 11:04:14,2,1,True,876,27.0,135,165
APR-000117,Delta Appraisal,Manufactured,Refinance,2025-09-06 11:04:14,1,0,False,28,16.0,12,80
APR-000118,Ocean Appraisal LLC,Multi-Family,Refinance,2025-08-12 11:04:14,1,0,False,24,14.0,10,72
APR-000119,Delta Appraisal,Multi-Family,Refinance,2025-08-27 11:04:14,1,0,False,21,-26.0,9,61
APR-000120,Horizon Appraisal,Manufactured,Purchase,2025-08-13 11:04:14,1,1,True,233,28.0,205,146
APR-000121,Horizon Appraisal,Single Family,Refinance,2025-08-07 11:04:14,1,0,True,220,8.0,212,63
APR-000122,River Appraisal,Manufactured,Purchase,2025-10-06 11:04:14,1,1,False,22,17.0,5,119
APR-000123,River Appraisal,Townhouse,Purchase,2025-08-16 11:04:14,1,0,False,16,11.0,5,121
APR-000124,Forest Appraisal,Single Family,Refinance,2025-08-04 11:04:14,2,1,False,1596,10.0,224,63
APR-000125,Ocean Appraisal,Manufactured,Purchase,2025-09-15 11:04:14,1,1,False,61,50.0,11,151
APR-000126,Ocean Appraisal,Manufactured,Refinance,2025-10-05 11:04:14,2,1,False,852,13.0,10,73
APR-000127,Forest Appraisal,Multi-Family,Refinance,2025-09-04 11:04:14,1,1,False,223,20.0,203,77
APR-000128,Horizon Appraisal Inc,Single Family,Purchase,2025-10-08 11:04:14,1,0,False,182,6.0,176,103
APR-000129,Ocean Appraisal,Condo,Refinance,2025-08-14 11:04:14,1,0,False,25,17.0,8,80
APR-000130,Delta Appraisal,Condo,Purchase,2025-09-26 11:04:14,1,1,False,64,49.0,15,148
APR-000131,Ocean Appraisal,Manufactured,Refinance,2025-09-14 11:04:14,1,0,False,16,9.0,7,62
APR-000132,Delta Appraisal,Manufactured,Refinance,2025-09-11 11:04:14,1,0,False,28,15.0,13,90
APR-000133,Delta Appraisal,Multi-Family,Purchase,2025-09-25 11:04:14,2,1,False,1758,28.0,15,150
APR-000134,Forest Appraisal,Multi-Family,Refinance,2025-09-15 11:04:14,1,0,True,226,8.0,218,73
APR-000135,River Appraisal,Townhouse,Purchase,2025-10-06 11:04:14,1,1,False,22,18.0,4,162
APR-000136,Delta Appraisal,Townhouse,Purchase,2025-08-16 11:04:14,1,1,False,57,44.0,13,146
APR-000137,Horizon Appraisal Co.,Condo,Purchase,2025-08-22 11:04:14,2,1,False,636,16.0,119,106
APR-000138,River Appraisal,Single Family,Purchase,2025-09-24 11:04:14,1,0,False,12,8.0,4,131
APR-000139,Forest Appraisal,Condo,Purchase,2025-09-04 11:04:14,1,1,True,157,30.0,127,125
APR-000140,Forest Appraisal Inc,Townhouse,Purchase,2025-09-07 11:04:14,1,1,True,192,31.0,161,160
APR-000141,Delta Appraisal,Condo,Purchase,2025-07-24 11:04:14,3,1,False,594,35.0,10,164
APR-000142,Horizon Appraisal,Single Family,Purchase,2025-09-29 11:04:14,3,1,True,810,15.0,212,114
APR-000143,Delta Appraisal,Townhouse,Purchase,2025-07-17 11:04:14,2,1,False,960,31.0,13,141
APR-000144,River-Appraisal,Manufactured,Purchase,2025-09-08 11:04:14,1,1,False,24,19.0,5,134
APR-000145,Delta Appraisal,Multi-Family,Refinance,2025-08-14 11:04:14,1,0,False,26,17.0,9,82
APR-000146,Forest Appraisal,Single Family,Purchase,2025-09-17 11:04:14,1,1,True,226,23.0,203,123
APR-000147,Horizon Appraisal,Multi-Family,Purchase,2025-10-11 11:04:14,2,1,True,1206,8.0,167,119
APR-000148,Forest Appraisal,Manufactured,Refinance,2025-08-02 11:04:14,1,1,True,140,19.0,121,55
APR-000149,Delta Appraisal,Manufactured,Purchase,2025-09-05 11:04:14,1,1,False,40,28.0,12,139
APR-000150,Delta Appraisal,Multi-Family,Refinance,2025-07-27 11:04:14,1,0,False,24,11.0,13,76
APR-000151,Forest Appraisal,Single Family,Refinance,2025-08-09 11:04:14,1,0,True,180,8.0,172,50
APR-000152,River Appraisal,Multi-Family,Purchase,2025-08-13 11:04:14,1,1,True,34,28.0,6,118
APR-000153,River Appraisal,Townhouse,Purchase,2025-09-03 11:04:14,1,1,False,18,13.0,5,135
APR-000154,Horizon Appraisal,Multi-Family,Purchase,2025-07-27 11:04:14,1,1,False,143,31.0,112,147
APR-000155,Ocean Appraisal,Townhouse,Refinance,2025-07-23 11:04:14,1,0,False,16,7.0,9,79
APR-000156,Forest Appraisal,Single Family,Refinance,2025-10-08 11:04:14,1,0,True,200,11.0,189,75
APR-000157,Ocean Appraisal,Single Family,HELOC,2025-08-11 11:04:14,1,0,True,25,17.0,8,113
APR-000158,Delta Appraisal,Multi-Family,Purchase,2025-08-02 11:04:14,1,1,False,49,35.0,14,119
APR-000159,Ocean Appraisal,Multi-Family,Refinance,2025-08-13 11:04:14,2,1,True,600,11.0,11,68
APR-000160,River Appraisal,Manufactured,Purchase,2025-08-07 11:04:14,1,0,False,18,12.0,6,115
APR-000161,Delta Appraisal,Condo,HELOC,2025-07-31 11:04:14,1,1,False,50,36.0,14,121
APR-000162,River Appraisal,Townhouse,Purchase,2025-07-20 11:04:14,1,1,False,31,25.0,6,148
APR-000163,Delta Appraisal,Multi-Family,Refinance,2025-09-03 11:04:14,1,0,False,31,22.0,9,84
APR-000164,Forest Appraisal,Condo,Purchase,2025-10-13 11:04:14,1,1,True,234,31.0,203,118
APR-000165,Ocean Appraisal LLC,Manufactured,Refinance,2025-08-24 11:04:14,1,0,True,19,10.0,9,81
APR-000166,Ocean Appraisal,Single Family,Refinance,2025-09-27 11:04:14,1,0,False,25,19.0,6,90
APR-000167,River Appraisal,Townhouse,Purchase,2025-10-09 11:04:14,2,1,False,822,12.0,6,132
APR-000168,Ocean Appraisal,Single Family,Refinance,2025-08-29 11:04:14,5,1,False,786,26.0,11,68
APR-000169,Horizon Appraisal,Multi-Family,REFINANCE,2025-07-30 11:04:14,1,0,False,157,15.0,142,85
APR-000170,River Appraisal,Condo,Purchase,2025-09-13 11:04:14,3,1,False,1056,15.0,5,108
APR-000171,Horizon Appraisal,Townhouse,Purchase,2025-09-21 11:04:14,1,1,False,235,20.0,215,131
APR-000172,Delta Appraisal,Multi-Family,Refinance,2025-09-23 11:04:14,1,0,True,26,16.0,10,0
APR-000173,Horizon Appraisal,Townhouse,Purchase,2025-09-30 11:04:14,2,1,False,792,11.0,155,123
APR-000174,River Appraisal,Townhouse,Refinance,2025-07-28 11:04:14,2,1,True,858,6.0,5,58
APR-000175,Horizon Appraisal,Manufactured,Purchase,2025-09-14 11:04:14,1,1,False,219,16.0,203,140
APR-000176,Delta Appraisal,Single Family,Refinance,2025-08-29 11:04:14,1,0,False,28,15.0,13,68
APR-000177,Horizon Appraisal,Multi-Family,Refinance,2025-08-09 11:04:14,1,0,True,189,8.0,181,58
APR-000178,Forest Appraisal,Townhouse,Purchase,2025-08-19 11:04:14,1,0,False,231,17.0,214,119
APR-000179,River Appraisal,Townhouse,Refinance,2025-10-14 11:04:14,1,0,False,12,5.0,7,63
APR-000180,Delta Appraisal,Single Family,Purchase,2025-08-10 11:04:14,2,1,False,912,33.0,8,144
APR-000181,Forest Appraisal,Manufactured,Refinance,2025-09-17 11:04:14,2,1,True,1116,20.0,167,65
APR-000182,Forest Appraisal,Multi-Family,refinance,2025-10-07 11:04:14,1,0,True,248,10.0,238,75
APR-000183,Horizon Appraisal,Townhouse,Refinance,2025-07-28 11:04:14,1,0,False,127,8.0,119,63
APR-000184,Forest Appraisal,Townhouse,Purchase,2025-08-17 11:04:14,2,1,True,1668,24.0,121,118
APR-000185,Delta Appraisal,Manufactured,Purchase,2025-09-25 11:04:14,2,1,False,762,42.0,9,175
APR-000186,River Appraisal,Townhouse,Purchase,2025-09-25 11:04:14,2,1,False,306,14.0,6,149
APR-000187,River Appraisal,Townhouse,Purchase,2025-08-20 11:04:14,3,1,True,690,19.0,6,133
APR-000188,River Appraisal,Townhouse,Purchase,2025-08-10 11:04:14,1,1,True,35,28.0,7,146
APR-000189,Ocean Appraisal,Condo,Refinance,2025-10-13 11:04:14,2,1,False,258,14.0,11,57
APR-000190,Forest Appraisal,Townhouse,Purchase,2025-09-16 11:04:14,1,1,False,258,29.0,229,100
APR-000191,Delta Appraisal,Manufactured,HELOC,2025-09-22 11:04:14,1,1,True,46,38.0,8,124
APR-000192,River Appraisal,Townhouse,HELOC,2025-08-10 11:04:14,1,0,False,18,13.0,5,127
APR-000193,Forest Appraisal,Single Family,Purchase,2025-08-24 11:04:14,2,1,False,822,22.0,127,149
APR-000194,Delta Appraisal,Single Family,Purchase,2025-07-22 11:04:14,1,1,False,60,48.0,12,165
APR-000195,Delta Appraisal,Multi-Family,Purchase,2025-08-02 11:04:14,1,1,False,46,34.0,12,121
APR-000196,Ocean Appraisal,Townhouse,Refinance,2025-09-28 11:04:14,1,0,True,24,15.0,9,77
APR-000197,Horizon Appraisal,Condo,Refinance,2025-08-29 11:04:14,1,0,False,224,8.0,216,60
APR-000198,Ocean Appraisal,Single Family,Purchase,2025-09-16 11:04:14,1,1,False,36,30.0,6,124
APR-000199,Ocean Appraisal,Manufactured,Refinance,2025-07-26 11:04:14,2,1,False,510,7.0,6,66
APR-000200,Ocean Appraisal Inc.,Townhouse,Purchase,2025-09-27 11:04:14,1,1,False,48,40.0,8,145
APR-000201,Ocean Appraisal,Manufactured,HELOC,2025-08-01 11:04:14,1,0,True,22,15.0,7,108
APR-000202,Horizon Appraisal,Condo,Refinance,2025-10-04 11:04:14,1,0,False,156,6.0,150,67
APR-000203,Delta Appraisal,Townhouse,Purchase,2025-09-11 11:04:14,2,1,False,534,27.0,12,145
APR-000204,Delta Appraisal,Manufactured,HELOC,2025-08-25 11:04:14,1,1,False,47,36.0,11,132
APR-000205,Delta Appraisal,Condo,Purchase,2025-07-29 11:04:14,1,0,False,33,20.0,13,146
APR-000206,Forest Appraisal,Condo,Purchase,2025-07-27 11:04:14,2,1,True,576,25.0,158,122
APR-000207,Forest Appraisals,Condo,Purchase,2025-07-26 11:04:14,2,1,False,684,18.0,138,154
APR-000208,Ocean Appraisal,Manufactured,Refinance,2025-10-13 11:04:14,1,0,False,23,13.0,10,77
APR-000209,Horizon Appraisal,Townhouse,Purchase,2025-08-15 11:04:14,1,1,False,176,24.0,152,103
APR-000210,River Appraisal,Single Family,Purchase,2025-09-13 11:04:14,1,0,False,16,9.0,7,135
APR-000211,Forest Appraisal,Manufactured,HELOC,2025-10-05 11:04:14,1,1,False,165,27.0,138,113
APR-000212,Forest Appraisal,Condo,Purchase,2025-09-24 11:04:14,1,1,False,145,19.0,126,104
APR-000213,Forest Appraisal,Single Family,HELOC,2025-08-04 11:04:14,3,1,True,864,19.0,188,89
APR-000214,Ocean Appraisal,Manufactured,Purchase,2025-08-25 11:04:14,1,1,True,42,33.0,9,148
APR-000215,Delta Appraisal,Single Family,HELOC,2025-09-11 11:04:14,2,1,False,960,29.0,11,111
APR-000216,Horizon Appraisal,Multi-Family,Refinance,2025-10-14 11:04:14,1,0,False,210,5.0,205,76
APR-000217,River Appraisal,Multi-Family,Purchase,2025-09-18 11:04:14,2,1,False,1152,19.0,6,134
APR-000218,Ocean Appraisal,Townhouse,refinance,2025-09-10 11:04:14,1,0,False,20,13.0,7,50
APR-000219,Delta Appraisal,Condo,Purchase,2025-07-28 11:04:14,1,1,False,57,44.0,13,165
APR-000220,Delta Appraisal,Townhouse,Refinance,2025-07-19 11:04:14,1,0,True,27,19.0,8,82
APR-000221,Delta Appraisal,Multi-Family,Purchase,2025-08-08 11:04:14,1,1,False,42,32.0,10,136
APR-000222,Delta Appraisal,Condo,Refinance,2025-08-21 11:04:14,1,0,False,27,16.0,11,83
APR-000223,Delta-Appraisal,Single Family,Purchase,2025-09-17 11:04:14,1,1,False,45,35.0,10,133
APR-000224,Horizon Appraisal,Townhouse,Purchase,2025-08-28 11:04:14,1,0,True,124,7.0,117,132
APR-000225,Ocean Appraisal,Multi-Family,Refinance,2025-08-28 11:04:14,2,1,True,660,11.0,7,58
APR-000226,Horizon Appraisal,Manufactured,Purchase,2025-09-06 11:04:14,1,0,False,198,11.0,187,120
APR-000227,Ocean Appraisal,Townhouse,Refinance,2025-08-26 11:04:14,1,0,True,22,14.0,8,61
APR-000228,River-Appraisal,Manufactured,Purchase,2025-09-06 11:04:14,2,1,False,792,11.0,4,137
APR-000229,Ocean Appraisal,Multi-Family,Refinance,2025-09-24 11:04:14,3,1,True,540,25.0,11,79
APR-000230,Horizon Appraisal,Townhouse,Purchase,2025-09-21 11:04:14,1,1,False,220,20.0,200,121
APR-000231,Delta Appraisal,Multi-Family,Refinance,2025-10-05 11:04:14,1,0,False,28,18.0,10,73
APR-000232,Ocean Appraisal,Condo,Purchase,2025-09-25 11:04:14,1,1,False,46,40.0,6,159
APR-000233,River Appraisal,Multi-Family,Purchase,2025-10-14 11:04:14,1,1,False,18,13.0,5,135
APR-000234,Ocean Appraisal,Manufactured,Purchase,2025-10-05 11:04:14,1,1,False,49,39.0,10,120
APR-000235,Forest Appraisal,Manufactured,Refinance,2025-08-25 11:04:14,3,1,True,570,14.0,122,71
APR-000236,Ocean Appraisal,Condo,Refinance,2025-07-28 11:04:14,2,1,True,300,11.0,11,64
APR-000237,Ocean Appraisal,Condo,Refinance,2025-08-01 11:04:14,1,0,False,24,14.0,10,67
APR-000238,Horizon Appraisal,Manufactured,HELOC,2025-08-23 11:04:14,1,0,True,160,10.0,150,80
APR-000239,River Appraisal,Multi-Family,Purchase,2025-09-16 11:04:14,1,1,False,24,19.0,5,125
APR-000240,Forest Appraisal,Multi-Family,Purchase,2025-08-04 11:04:14,1,1,False,145,25.0,120,119
APR-000241,Forest Appraisal,Condo,HELOC,2025-09-20 11:04:14,1,1,True,206,31.0,175,94
APR-000242,Ocean Appraisal LLC,Townhouse,Purchase,2025-09-08 11:04:14,1,1,True,27,20.0,7,125
APR-000243,Delta Appraisal,Townhouse,Purchase,2025-07-17 11:04:14,1,1,False,53,39.0,14,124
APR-000244,River Appraisal,Multi-Family,Refinance,2025-09-29 11:04:14,1,0,True,13,7.0,6,70
APR-000245,Forest Appraisal,Townhouse,Purchase,2025-09-16 11:04:14,1,0,True,183,25.0,158,134
APR-000246,River Appraisal,Multi-Family,Purchase,2025-09-24 11:04:14,2,1,False,660,15.0,5,144
APR-000247,Horizon Appraisal,Condo,HELOC,2025-08-10 11:04:14,2,1,False,1356,11.0,136,83
APR-000248,Delta Appraisal,Single Family,Purchase,2025-09-07 11:04:14,2,1,False,1308,31.0,11,129
APR-000249,River Appraisal Inc.,Multi-Family,Purchase,2025-09-03 11:04:14,1,1,False,27,23.0,4,159
APR-000250,Forest Appraisal,Condo,Purchase,2025-07-21 11:04:14,1,1,True,225,22.0,203,115
APR-000251,Delta Appraisal,Single Family,HELOC,2025-08-28 11:04:14,1,1,False,43,35.0,8,123
